"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count","created_date","score","age","search_term","url"
"1867","125433567654197","Senador Mário Couto","Olá, meus amigos!!Hoje, a festa foi grande no Pará Clube, em Belém. Recebemos o nosso candidato a Presidente do Brasil, Aécio Neves, que também esteve no município de Marabá. Queremos varrer a corrupção do Brasil e acreditamos que Aécio, com sua competência e integridade, é o mais preparado para colocar o nosso País novamente nos trilhos do progresso. É 45! Avantes, meus amigos. No Pará, vocês sabem, a luta tem que continuar. É 456!!Mário Couto#MárioCoutoMeRepresenta #éMárioCoutoDeNovo #aLutaTemQueContinuar #SenadorDeLuta456 #SenadorDeLuta #MárioCouto456 #SenadorMárioCouto #FichaLimpa","2014-09-08T21:56:16+0000","photo","https://www.facebook.com/125433567654197/photos/pcb.294656020731950/294653140732238/?type=1&relevant_count=4","125433567654197_294656020731950",849,70,176,2014-09-08,211.5,-6,"Aécio",NA
"1929","313558735338761","Doutor Rosinha","'Foi a marca das eleições brasileiras de 2006 e, especialmente, de 2010.O padrão é cansativo, de tão previsível.Veja saía na frente com seus factoides e o grupo repercutia em seguida. O fórum de orquestração se dava no Instituto Millenium. A um mês das eleições, aumentava-se a dose e tentava-se a bala de prata.A morte de Civita acelerou o processo de perda de rumo dos grupos de mídia  Pagou-se um preço caro com a orquestração contra a Copa do Mundo, que marcou o fundo do poço da credibilidade da mídia.[...] Não mais que de repente, o factoide de Veja traz a esperança de uma respiração boca a boca capaz de ressuscitar a candidatura Aécio,.O fato em si é simples.Não se discute a existência do esquema Paulo Roberto Costa. É evidente que controlava uma organização criminosa incrustada na Petrobras e que tinha padrinhos políticos. E é fato que gravou depoimentos, dentro do acordo de delação premiada.A reportagem da Veja não traz um indício de acesso ao relato. Pode ter enfiado na reportagem o que ela achasse melhor. Ou alguém acredita no respeito da revista pelos fatos?'--por Luis Nassif.","2014-09-08T14:13:14+0000","link","http://jornalggn.com.br/noticia/para-entender-a-montagem-da-veja","313558735338761_886573681370594",294,29,263,2014-09-08,195.9,-6,"Aécio",NA
"1268","178063989064606","Aécio Brasil","O humorista Marcelo Madureira também está com Aécio Neves. E você?!#EstamosComAécio #AécioBrasil #MudaBrasil #EuVotoAécio45","2014-09-14T23:19:10+0000","video","https://www.facebook.com/video.php?v=298034140400923","178063989064606_298034140400923",714,52,156,2014-09-14,180.6,0,"Aécio",NA
"1706","351620978307822","Revolta Brasil",NA,"2014-09-10T18:00:00+0000","link","http://www.revoltabrasil.com.br/politica/4224-lider-nacional-do-mst-promete-guerra-se-aecio-ganhar.html","351620978307822_500315966771655",115,110,215,2014-09-10,173.5,-4,"Aécio",NA
"2171","272809098799","Beto Richa","Bom dia! Hoje, em Cascavel, participo com o meu amigo Aécio Neves  de um encontro com lideranças da região Oeste no Tuiuti Esporte Clube. Espero vocês!","2014-09-05T10:15:00+0000","status",NA,"272809098799_10152451164268800",1075,100,49,2014-09-05,166.9,-9,"Aécio",NA
"1954","313558735338761","Doutor Rosinha","'O seu posicionamento de oposição frontal ao governo de Dilma Rousseff poderia ser combinado com uma delimitação clara com a base política histórica e social do PSDB, estabelecendo as suas críticas fundamentais ao ciclo FHC, se quisesse de fato construir uma “terceira via”. É o contrário do que fez: adotou a narrativa que pretende estabelecer o mérito histórico de FHC em conquistar a estabilidade econômica do país como Lula cumpriu a grande meta da inclusão social, exatamente a mesma narrativa assumida antes por Aécio Neves. Isto é, desfazer o abismo entre a impopularidade de FHC e a popularidade de Lula, o sentido classista antagônico dramático dos dois governos, apenas para melhor disputar por dentro a base social em ascensão econômica e de acesso a direitos e que forma a maioria do eleitorado brasileiro.Ao elogiar FHC e não entrar em choque frontal com a liderança política de Lula, Marina pretende combinar dois objetivos: tornar-se orgânica em relação as forcas políticas e econômicas do neoliberalismo e , ao mesmo tempo, cultivar a base social que já construiu a consciência democrática de seu antagonismo com os tempos de FHC. Mais do que Aécio, por todo seu simbolismo, ela está muito mais bem posicionada para cumprir esta estratégia.Ora, esta estratégia – a de formar uma base social ampla do anti-petismo e capitalizar uma dinâmica de “mutirão das oposições” contra Dilma – foi exatamente formulada por FHC. E, neste sentido, a nova Marina é a criatura que melhor encarna esta estratégia'--por Juarez Guimarães, via Carta Maior","2014-09-08T03:46:58+0000","link","http://paranacomdilma.com/2014/09/08/a-nova-marina-e-apenas-a-nova-criatura-do-velho-neoliberalismo-de-fhc/","313558735338761_886380391389923",217,23,226,2014-09-08,164.2,-6,"Aécio",NA
"1983","313558735338761","Doutor Rosinha","'O candidato à presidência pelo PSDB, Aécio Neves, parece mesmo não entender nada sobre liberdade na internet, participação social e democracia. Após perseguir politicamente a jornalista Rebeca Mafra, do Canal Brasil, que recebeu um mandado de busca e apreensão por supostamente causar ""crimes contra a honra"" do candidato na rede, o tucano voltou à baila. Agora, chegou a vez de Aécio processar 66 perfis no Twitter, dentre eles, os de turquim5,  Pablo Villaça, Altamiro Borges e Antonio Mello, além dos perfis do Diário do Centro do Mundo e do Seja Dita Verdade por ""disseminação de mentiras e ofensas"" contra ele.O tucano ingressou com uma Ação de Obrigação de Fazer (link is external) (processo número 1081839-36.2014) contra o Twitter pedindo que ele preserve e forneça todos os dados cadastrais e registros eletrônicos (IP, data, hora e porta de comunicação) atrelados à criação e acessos dos 66 perfis. Segundo Aécio, os tuiteiros em questão “formam uma rede virtual de disseminação de mentiras e ofensas contra o autor, o que sugere uma atuação orquestrada, quiçá paga, para detrair sua honra, nome e história”, além de alegar que são robôs'--via Muda Mais","2014-09-07T21:30:27+0000","link","http://mudamais.com/divulgue-verdade/quem-interessa-calar-internet-os-66-perseguidos-de-aecio","313558735338761_886234928071136",287,37,206,2014-09-07,163.4,-7,"Aécio",NA
"2096","199599520097304","Alvaro Dias",NA,"2014-09-06T02:12:17+0000","photo","https://www.facebook.com/alvarodias456/photos/a.1397442267143242.1073741829.1396841750536627/1436910476529754/?type=1","199599520097304_788689494521634",1405,66,1,2014-09-06,160.9,-8,"Aécio",NA
"1376","194552750585551","Carta Maior",NA,"2014-09-14T16:30:01+0000","link","http://www.cartamaior.com.br/?%2FEditoria%2FPolitica%2F6-coisas-dos-tempos-que-a-equipe-economica-de-Aecio-e-Marina-governavam-o-pais%2F4%2F31751","194552750585551_827397210634432",211,13,226,2014-09-14,160.6,0,"Aécio",NA
"1956","421927677830371","O Cafezinho","Miro Borges, em seu blog: ""Esta nova ação contra 66 tuiteiros não causa surpresa e nem mete medo. Apenas mostra que o ditador tucano não tolera a liberdade de expressão. Ele até bravateia sobre o tema para obter os holofotes da imprensa. Cínico, ele acusa Dilma Rousseff de querer censurar a imprensa – uma baita injustiça contra a presidenta que se acovardou diante dos monopólios midiáticos. O cambaleante tucano detesta a brecha aberta pela internet e odeia as redes sociais. Ele prefere a cumplicidade da midiazona, que até hoje abafa as denúncias do “mensalão tucano” – que ela batizou de “mensalão mineiro” –, do “aecioporto” na fazenda do seu titio-avo ou do helicóptero do pó dos seus compadres da família Perrella.""","2014-09-08T02:16:02+0000","link","http://altamiroborges.blogspot.com.br/2014/09/o-censor-aecio-nao-mete-medo.html?spref=tw","421927677830371_787416174614851",287,7,216,2014-09-08,160.4,-6,"Aécio",NA
"1807","204590739576667","InfoMoney","Eleições 2014","2014-09-09T17:00:00+0000","link","http://www.infomoney.com.br/mercados/eleicoes/noticia/3565691/aecio-processa-usuarios-twitter-por-usar-rede-social-para-atacar","204590739576667_729569100412159",427,135,106,2014-09-09,146.8,-5,"Aécio",NA
"1877","421927677830371","O Cafezinho","SpressoRJ - As ligações perigosas do Rio: Globo, Sedala, Cavendish, Cabral e Aécio","2014-09-08T21:14:52+0000","link","http://www.spressorj.com.br/2014/09/08/ligacoes-perigosas-rio-globo-sedala-cavendish-cabral-e-aecio/","421927677830371_787720017917800",123,5,206,2014-09-08,137.4,-6,"Aécio",NA
"1497","1387055648190022","Pimenta da Veiga","A saúde pública é problema no Brasil inteiro e, em 12 anos, o Governo Federal do PT não está conseguindo resolver esse problema. Hoje, nosso programa fala sobre esse tema. Em Minas, os programas de Aécio e Anastasia conseguiram melhorar e colocar a saúde do nosso estado como a melhor da região Sudeste. Vamos continuar investindo em projetos como o Mães de Minas, Farmácia de Minas e outros tantos que deram certo. Veja nossas propostas para levar a saúde cada vez mais perto das pessoas. http://youtu.be/hv9jiuIpKVU","2014-09-12T23:36:40+0000","video","https://www.youtube.com/watch?v=hv9jiuIpKVU&feature=youtu.be","1387055648190022_1552464031649182",424,12,127,2014-09-12,122.2,-2,"Aécio",NA
"1631","136852373848","Terra","Marina afirma que Aécio faz contra ela o mesmo trabalho de desconstrução que o PT tem feito. Tucano se defende e diz fazer debate político","2014-09-12T08:00:01+0000","link","http://noticias.terra.com.br/eleicoes/marina-aecio-tenta-desconstruir-imagem-com-ataques-pessoais,1f8231a577768410VgnVCM20000099cceb0aRCRD.html","136852373848_10153264766963849",336,230,29,2014-09-12,120,-2,"Aécio",NA
"1937","576228605756323","Kennedy Alencar","[Comentário na CBN]","2014-09-08T13:22:54+0000","link","http://www.blogdokennedy.com.br/costa-assombra-pt-e-psb-mas-nao-deve-levar-aecio-a-2o-turno/","576228605756323_763788830333632",297,75,107,2014-09-08,116.4,-6,"Aécio",NA
"1748","229151370439618","CartaCapital","O candidato do PSDB a Presidência, Aécio Neves, e o vice de Geraldo Alckmin, Marcio França, estão processando dezenas de blogueiros e tuiteiros por supostas ""ofensas"". O advogado de França chegou a pedir ajuda nas redes sociais para conseguir o endereço e o telefone pessoal dos internautas que criticaram seus clientes.","2014-09-10T11:20:00+0000","link","http://www.cartacapital.com.br/politica/psdb-e-psb-processam-internautas-9885.html","229151370439618_805051439516272",214,60,125,2014-09-10,114.4,-4,"Aécio",NA
